Date,Day,Cat.Id,Household.Id,Name,Breed,Age,Sex,Other.Cats,Desexed,Microchipped,Overall.Bark.points,Health.Index,Calories,Sleep.score,kms,Activity.Index,Play,Active,Rest,Notes,Activity.Total
44468,Wednesday,1,1,Tia,Burmese,1,F,0,1,,6595,74,305,85,4.39,124,43,591,806,,1440
44469,Thursday,1,1,Tia,Burmese,1,F,0,1,,5707,75,282,68,3.8,101,40,603,797,,1440
44470,Friday,1,1,Tia,Burmese,1,F,0,1,,5761,73,283,69,3.83,102,25,647,768,,1440
44471,Saturday,1,1,Tia,Burmese,1,F,0,1,,5650,74,280,78,3.77,99,30,637,773,,1440
44473,Monday,1,1,Tia,Burmese,1,F,0,1,,6161,74,293,65,4.1,108,36,606,798,,1440
44474,Tuesday,1,1,Tia,Burmese,1,F,0,1,,4659,73,254,81,3.11,81,15,557,868,,1440
44475,Wednesday,1,1,Tia,Burmese,1,F,0,1,,5951,72,288,75,3.96,105,20,645,774,,1439
44476,Thursday,1,1,Tia,Burmese,1,F,0,1,,4644,72,254,88,3.09,82,26,525,889,,1440
44477,Friday,1,1,Tia,Burmese,1,F,0,1,,5828,72,287,84,3.93,106,24,677,738,,1439
44478,Saturday,1,1,Tia,Burmese,1,F,0,1,,4839,72,259,82,3.22,86,19,623,798,,1440
44479,Sunday,1,1,Tia,Burmese,1,F,0,1,,4933,71,261,84,3.28,89,23,615,802,,1440
44480,Monday,1,1,Tia,Burmese,1,F,0,1,,5141,71,267,85,3.43,93,34,553,853,,1440
44481,Tuesday,1,1,Tia,Burmese,1,F,0,1,,5532,70,277,70,3.68,101,29,596,815,,1440
44482,Wednesday,1,1,Tia,Burmese,1,F,0,1,,5805,73,284,85,3.86,106,40,581,818,,1439
44483,Thursday,1,1,Tia,Burmese,1,F,0,1,,5223,73,269,72,3.48,95,24,616,800,,1440
44484,Friday,1,1,Tia,Burmese,1,F,0,1,,6173,73,294,85,4.1,112,40,608,791,,1439
44485,Saturday,1,1,Tia,Burmese,1,F,0,1,,5445,73,275,84,3.62,98,29,593,818,,1440
44486,Sunday,1,1,Tia,Burmese,1,F,0,1,,5834,73,285,78,3.88,105,30,641,769,,1440
44487,Monday,1,1,Tia,Burmese,1,F,0,1,,5053,72,264,87,3.36,91,20,604,815,,1439
44488,Tuesday,1,1,Tia,Burmese,1,F,0,1,,5206,71,268,83,3.46,94,32,601,807,,1440
44489,Wednesday,1,1,Tia,Burmese,1,F,0,1,,4557,71,251,80,3.02,82,24,522,894,,1440
44490,Thursday,1,1,Tia,Burmese,1,F,0,1,,5303,71,271,82,3.52,97,18,657,765,,1440
44491,Friday,1,1,Tia,Burmese,1,F,0,1,,5054,71,264,83,3.36,92,20,673,746,,1439
44492,Saturday,1,1,Tia,Burmese,1,F,0,1,,5138,71,267,84,3.43,94,20,630,789,,1439
44493,Sunday,1,1,Tia,Burmese,1,F,0,1,,4923,71,261,85,3.28,90,14,628,797,,1439
44070,Thursday,2,2,Harri,Domestic,5,F,0,1,,3044,64,201,90,2,87,5,490,945,,1440
44071,Friday,2,2,Harri,Domestic,5,F,0,1,,3344,64,209,90,2.19,98,5,549,886,,1440
44072,Saturday,2,2,Harri,Domestic,5,F,0,1,,4951,67,249,88,3.25,145,5,687,748,,1440
44073,Sunday,2,2,Harri,Domestic,5,F,0,1,,3955,67,224,82,2.59,110,4,578,858,,1440
44074,Monday,2,2,Harri,Domestic,5,F,0,1,,3165,66,204,86,2.08,87,7,491,942,,1440
44075,Tuesday,2,2,Harri,Domestic,5,F,0,1,,3141,64,204,91,2.06,88,5,528,907,,1440
44076,Wednesday,2,2,Harri,Domestic,5,F,0,1,,4427,67,236,91,2.9,125,5,648,787,,1440
44077,Thursday,2,2,Harri,Domestic,5,F,0,1,,2945,66,199,87,1.93,82,6,471,963,,1440
44078,Friday,2,2,Harri,Domestic,5,F,0,1,,4087,66,228,91,2.69,115,5,576,859,,1440
44079,Saturday,2,2,Harri,Domestic,5,F,0,1,,4501,67,238,89,2.95,125,5,631,804,,1440
44080,Sunday,2,2,Harri,Domestic,5,F,0,1,,3906,67,223,88,2.56,107,5,578,857,,1440
44081,Monday,2,2,Harri,Domestic,5,F,0,1,,2887,65,197,88,1.9,79,9,564,867,,1440
44082,Tuesday,2,2,Harri,Domestic,5,F,0,1,,3347,64,209,80,2.19,92,2,537,901,,1440
44083,Wednesday,2,2,Harri,Domestic,5,F,0,1,,2994,64,200,80,1.96,83,6,579,855,,1440
44084,Thursday,2,2,Harri,Domestic,5,F,0,1,,3100,64,203,89,2.03,87,4,545,891,,1440
44085,Friday,2,2,Harri,Domestic,5,F,0,1,,3472,65,212,75,2.29,98,2,623,815,,1440
44086,Saturday,2,2,Harri,Domestic,5,F,0,1,,3372,66,210,80,2.2,95,9,502,929,,1440
44087,Sunday,2,2,Harri,Domestic,5,F,0,1,,3993,67,225,85,2.62,113,12,582,846,,1440
